,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
beasties01,1.12,0.96,0.04,93240,1.11,0.69,0.04,27072,6.94,6.71,0.20,431924,0.21,0.15,0.06,29168,
beasties02,1.22,0.96,0.03,91636,1.07,0.71,0.04,27164,7.25,7.04,0.17,437008,0.21,0.14,0.06,29136,
beasties03,1.40,1.24,0.06,126880,4.55,4.39,0.04,47740,25.34,24.87,0.38,904176,0.44,0.32,0.11,30812,
beasties04,1.72,1.48,0.07,150544,12.42,11.95,0.06,62764,35.41,34.91,0.39,938036,0.63,0.47,0.14,32176,
beasties05,1.37,1.19,0.06,122976,5.08,4.81,0.03,44088,23.10,22.69,0.33,784184,0.39,0.29,0.08,30516,
beasties06,1.08,0.93,0.04,91808,1.06,0.72,0.03,26560,7.21,7.01,0.17,433120,0.21,0.16,0.04,29148,
beasties07,1.29,1.00,0.04,101168,1.60,1.58,0.01,30648,8.58,8.28,0.25,645396,0.32,0.23,0.08,29448,
beasties08,0.98,0.71,0.05,74044,0.27,0.25,0.01,18068,6.37,6.15,0.18,355616,0.15,0.10,0.04,28456,
beasties09,1.44,1.27,0.07,129476,4.62,4.58,0.03,47224,25.67,25.27,0.32,784536,0.84,0.39,0.15,30812,
beasties10,0.99,0.76,0.05,67660,0.29,0.27,0.01,18068,6.01,5.81,0.16,341232,0.15,0.10,0.04,28464,
beasties11,0.86,0.72,0.05,68440,0.38,0.21,0.03,18064,6.13,5.92,0.16,344964,0.15,0.10,0.04,28448,
beasties12,0.95,0.69,0.05,66172,0.14,0.13,0.01,16900,5.14,4.96,0.14,292012,0.15,0.10,0.03,28500,
beasties13,0.87,0.61,0.05,62324,0.08,0.07,0.00,12888,4.87,4.71,0.14,276164,0.09,0.06,0.02,28112,
beasties14,0.95,0.69,0.04,64844,0.11,0.09,0.01,15100,5.04,4.86,0.14,277584,0.11,0.08,0.02,28376,
beasties15,1.53,1.33,0.09,145268,8.10,7.72,0.06,62760,35.31,33.39,0.40,929060,0.72,0.50,0.20,32072,
beasties16,1.39,1.06,0.06,102004,2.59,2.55,0.02,35892,19.10,18.71,0.32,757344,0.37,0.25,0.10,29828,
beasties17,1.34,1.03,0.07,98396,2.23,2.17,0.02,33960,14.41,14.11,0.26,734404,0.34,0.24,0.09,29728,
beasties18,1.53,1.21,0.08,115000,5.15,5.11,0.02,45224,25.10,24.66,0.35,794284,0.49,0.33,0.15,30640,
beasties19,1.33,1.04,0.08,100596,3.05,3.02,0.02,35824,21.01,20.62,0.33,754752,0.35,0.26,0.08,29932,
beasties20,1.42,1.12,0.09,106244,3.59,3.55,0.03,41616,22.34,21.87,0.39,873548,0.43,0.31,0.11,30400,
beasties21,1.09,0.93,0.06,92928,1.52,1.50,0.02,30228,14.20,13.82,0.31,738976,0.31,0.20,0.09,29396,
beasties22,1.36,1.10,0.06,105824,3.40,3.36,0.02,35764,20.22,19.85,0.30,756240,0.39,0.27,0.10,29940,
beasties23,1.24,0.95,0.07,92248,2.04,2.01,0.01,29712,9.19,8.91,0.24,601336,0.31,0.19,0.10,29392,
beasties24,1.65,1.32,0.09,134948,7.55,7.48,0.04,57116,34.69,34.16,0.43,935952,0.67,0.46,0.20,31672,
beasties25,1.47,1.20,0.07,110004,3.77,3.73,0.02,43428,25.07,24.64,0.36,786560,0.46,0.32,0.13,30444,
beasties26,1.20,0.92,0.06,85700,0.86,0.84,0.01,27408,8.71,8.47,0.21,533860,0.25,0.15,0.08,29184,
beasties27,1.45,1.17,0.07,109716,4.18,4.13,0.02,43428,25.28,24.86,0.35,777896,0.47,0.33,0.12,30452,
beasties28,1.30,1.02,0.05,92348,1.42,1.40,0.01,29588,9.17,8.89,0.24,603696,0.28,0.18,0.09,29392,
beasties29,1.46,1.14,0.09,107412,2.87,2.83,0.03,40056,22.95,22.53,0.32,759468,0.43,0.29,0.13,30244,
beasties30,1.34,1.07,0.06,98688,1.77,1.74,0.02,33432,14.60,14.28,0.26,730296,0.31,0.21,0.08,29716,
jxml2sql04,2.16,1.83,0.11,208504,,,,,19.48,19.00,0.41,877976,,,,,
jxml2sql07,2.40,2.11,0.14,212368,,,,,8.90,8.61,0.26,582588,,,,,
jxml2sql09,2.24,1.89,0.15,210004,,,,,9.00,8.73,0.24,591188,,,,,
jxml2sql14,1.03,0.86,0.05,82176,51.76,51.52,0.10,111420,5.55,5.36,0.16,285236,10.56,8.68,1.84,139264,
jxml2sql15,2.26,2.01,0.12,211900,,,,,9.02,8.74,0.24,591104,,,,,
jxml2sql16,2.17,1.92,0.14,209632,,,,,19.53,19.04,0.42,875308,,,,,
jxml2sql18,2.22,1.99,0.12,226560,,,,,9.21,8.92,0.25,619720,,,,,
jxml2sql19,2.07,1.80,0.12,206196,,,,,9.07,8.79,0.25,599240,,,,,
jxml2sql20,2.35,2.03,0.14,210148,,,,,9.18,8.89,0.25,620780,,,,,
jxml2sql21,2.26,1.95,0.12,217716,,,,,19.36,18.95,0.35,874092,,,,,
jxml2sql22,1.33,1.11,0.08,108272,,,,,6.60,6.40,0.16,332616,,,,,
jxml2sql23,2.24,1.98,0.14,205020,,,,,8.98,8.70,0.24,608532,,,,,
jxml2sql24,2.29,1.97,0.14,212928,,,,,9.16,8.88,0.23,633432,,,,,
jxml2sql25,2.25,1.97,0.14,202376,,,,,8.62,8.36,0.22,565984,,,,,
jxml2sql26,2.51,2.22,0.14,222092,,,,,19.13,18.68,0.38,866812,,,,,
jxml2sql27,2.42,2.07,0.16,222376,,,,,9.09,8.83,0.22,632868,,,,,
jxml2sql28,2.13,1.84,0.08,225256,,,,,9.28,9.00,0.24,645476,,,,,
jxml2sql29,2.15,1.89,0.08,245164,,,,,20.34,19.87,0.41,889176,,,,,
jxml2sql30,2.12,1.87,0.07,217180,,,,,8.77,8.50,0.23,588564,,,,,
jxml2sql31,2.04,1.84,0.07,215676,,,,,8.67,8.39,0.23,596632,,,,,
jxml2sql32,2.20,1.90,0.08,221944,,,,,9.04,8.73,0.23,592880,,,,,
jxml2sql33,2.11,1.82,0.07,212412,,,,,8.62,8.29,0.23,585100,,,,,
jxml2sql34,2.18,1.92,0.07,226160,,,,,8.64,8.37,0.22,588756,,,,,
mathQuizGame01,1.80,1.54,0.06,172704,,,,,13.53,13.14,0.25,727456,1.72,1.25,0.46,31852,
mathQuizGame02,1.75,1.58,0.08,196400,,,,,6.01,5.84,0.14,306440,0.42,0.30,0.11,28596,
mathQuizGame03,0.86,0.63,0.03,69784,36.80,36.64,0.06,87772,4.77,4.61,0.13,279188,0.10,0.07,0.02,27584,
mathQuizGame04,1.22,0.98,0.06,115088,39.48,39.31,0.07,95524,5.34,5.18,0.12,275896,0.21,0.14,0.06,28180,
mathQuizGame09,0.76,0.66,0.05,72456,39.22,39.05,0.07,105748,5.02,4.85,0.14,274744,0.10,0.07,0.02,27596,
mathQuizGame10,1.02,0.77,0.04,81200,23.60,23.46,0.08,88392,5.56,5.35,0.17,292996,0.21,0.16,0.05,28220,
mathQuizGame12,1.33,1.16,0.06,113656,26.69,26.57,0.05,70076,7.55,7.33,0.19,467328,0.86,0.60,0.25,29968,
mathQuizGame13,2.18,1.89,0.08,237156,54.02,53.82,0.06,86032,6.87,6.61,0.20,382960,0.59,0.40,0.17,29148,
mathQuizGame14,1.42,1.21,0.04,112652,29.09,28.95,0.06,72204,7.62,7.38,0.20,473872,0.87,0.62,0.24,29988,
mathQuizGame15,1.99,1.71,0.07,224272,53.82,53.61,0.07,86032,6.97,6.75,0.18,368984,0.59,0.41,0.17,29148,
mathQuizGame16,1.41,1.15,0.06,112764,24.32,24.17,0.08,68688,7.45,7.19,0.20,472676,0.83,0.59,0.23,29956,
mathQuizGame17,1.97,1.79,0.09,212976,52.46,52.24,0.09,85912,6.39,6.06,0.17,348696,0.52,0.35,0.16,28988,
mathQuizGame19,1.46,1.23,0.05,122312,42.69,42.48,0.10,117492,7.60,7.35,0.20,483104,0.83,0.56,0.26,30008,
mathQuizGame20,3.02,2.65,0.15,413176,61.80,61.53,0.11,129708,7.30,7.07,0.20,451060,0.75,0.52,0.22,29824,
mathQuizGame21,1.59,1.29,0.06,122804,38.71,38.41,0.11,111772,7.40,7.08,0.20,465464,0.83,0.55,0.26,29984,
mathQuizGame22,2.38,2.12,0.10,272532,64.08,63.80,0.11,133052,6.53,6.32,0.17,373816,1.01,0.39,0.13,29000,
mathQuizGame23,1.51,1.26,0.05,124244,52.49,52.26,0.10,127228,7.40,7.18,0.19,456872,0.92,0.64,0.28,30100,
mathQuizGame24,2.18,1.89,0.08,269376,60.12,59.85,0.12,129132,6.54,6.31,0.19,369012,0.47,0.32,0.14,29000,
mathQuizGame26,1.49,1.27,0.06,125228,28.01,27.86,0.07,91012,7.24,6.98,0.22,458980,0.87,0.59,0.27,30056,
mathQuizGame27,2.83,2.49,0.12,418732,57.99,57.73,0.11,113268,7.31,7.06,0.20,453356,0.80,0.57,0.22,29880,
mathQuizGame28,1.56,1.30,0.05,125936,30.68,30.54,0.05,93112,7.31,7.07,0.20,462624,0.94,0.64,0.29,30060,
mathQuizGame29,2.45,2.12,0.09,284792,47.04,46.84,0.08,102476,7.99,6.33,0.18,358996,0.46,0.32,0.13,29024,
mathQuizGame30,1.51,1.25,0.05,123120,30.30,30.13,0.08,93108,7.21,6.99,0.18,455400,0.93,0.60,0.32,30060,
mathQuizGame31,2.27,1.99,0.08,311744,50.45,50.25,0.07,106516,6.76,6.55,0.17,386024,0.56,0.39,0.16,29268,
