2LS	gray	14
aise	seagreen	11
AProVE	dark-red	11
AProVE (KoAT + LoAT)	dark-red	11
BRICK	seagreen	12
Bubaak	magenta	12
Bubaak-SpLit	magenta	10
CBMC-Path	gold	10
CBMC	red	2
cetfuzz	red	1
CMA-ES-Fuzz	coral	1
COASTAL	gold	10
ConcurrentWitness2Test	magenta	2
CoOpeRace	dark-green	4
CoVeriTeam-Verifier-AlgoSelection	dark-green	4
CoVeriTeam-Verifier-ParallelPortfolio	dark-green	12
CoVeriTest	blue	3
CPA-BAM-BnB	olive	18
CPA-BAM-SMG	magenta	1
CPAchecker-2-1	blue	3
CPAchecker	blue	3
CPALockator	brown	19
CProver-witness2test	yellow	24
CPA-Seq	blue	3
CPA-Tiger-MGP	blue	11
CPA-witness2test	red	1
CPV	olive	18
Crux	red	11
CSeq	coral	11
Dartagnan	#008B8B	8
Deagle	red	4
DepthK	gray	19
DIVINE	#8B0000	1
DIVINE-explicit	#8B0000	2
DIVINE-SMT	#008B8B	9
EBF	gold	10
EmergenTheta	slateblue1	10
ESBMC	gold	4
ESBMC-bkind-6-1	gold	4
ESBMC-falsif-6-1	gold	10
ESBMC-incr	gold	5
ESBMC-kind	gold	6
FairFuzz	olive	18
FDSE	olive	18
Fizzer	orange	14
Frama-C	brown	2
Frama-C-SV	brown	2
FuSeBMC	magenta	4
FuSeBMC_IA	magenta	10
FuSeBMC-AI	magenta	10
GACAL	#008B8B	10
Gazer-Theta	slateblue1	3
GDart	brown	19
GDart-LLVM	#008B8B	10
Goblint	#008B8B	12
Graves-CPA	dark-green	2
Graves-Par	dark-green	8
Hornix	navy	19
HybridTiger	blue	12
Infer	greenyellow	5
Java-Ranger	magenta	8
JayHorn	navy	16
JBMC	red	15
JDart	olive	17
JPF	gold	17
KLEE	brown	5
KLEEF	brown	19
Korn	#008B8B	1
LART	coral	14
Lazy-CSeq	red	7
Legion	coral	2
Legion/SymCC	red	5
LIV	orange	14
Locksmith	greenyellow	5
LF-checker	red	5
LibKluzzer	greenyellow	5
MetaVal	dark-violet	25
MetaVal++	magenta	19
Map2Check	red	18
Mopsa	brown	19
MLB	coral	14
Nacpa	dark-violet	14
NITWIT	gray	26
Owi	#00008B	17
PeSCo-CPA	dark-green	6
PIChecker	green	15
Pinaka	gray	6
PredatorHP	navy	4
PROTON	green	3
PRTest	coral	14
RacerF	brown	14
Rizzer	orange	10
SESL	salmon	7
Skink	greenyellow	12
SMACK	coral	8
Sikraken	gray	8
SPF	salmon	14
SVF-SVC	orange	8
sv-sanitizers	salmon	14
SWAT	orange	6
Symbiotic	orange	6
Symbiotic-Witch	orange	6
Theta	slateblue1	2
Thorn	orange	12
Tracer-X	dark-green	7
TracerX	dark-green	7
TracerX-WP	dark-green	8
UAutomizer	salmon	6
UGemCutter	navy	3
UKojak	salmon	10
UTaipan	salmon	14
UTestGen	salmon	16
UReferee	navy	10
VeriAbs	dark-yellow	3
VeriAbsL	dark-yellow	4
VeriFuzz	dark-yellow	12
VeriOover	navy	22
VIAP	navy	22
WASP-C	navy	22
Witch	orange	6
Yogar-CBMC-Parallel	#8B0000	20
Yogar-CBMC	salmon	8
